charged_body      2.000      10.000
     0.000      2.000      0.000      0.000        0.000      0.000      1.000
     0.010      2.000      0.000      0.000        0.000      0.000      1.002
     0.020      2.000      0.000      0.000        0.000      0.000      1.006
     0.030      2.000      0.000      0.000        0.000      0.000      1.012
     0.040      2.000      0.000      0.000        0.000      0.000      1.020
     0.050      2.000      0.000      0.001        0.000      0.000      1.030
     0.060      2.000      0.000      0.001        0.000      0.000      1.042
     0.070      2.000      0.000      0.001        0.000      0.000      1.056
     0.080      2.000      0.000      0.002        0.000      0.000      1.072
     0.090      2.000      0.000      0.003        0.000      0.000      1.090
     0.100      2.000      0.000      0.004        0.000      0.000      1.110
     0.110      2.000      0.000      0.005        0.000      0.000      1.132
     0.120      2.000      0.000      0.006        0.000      0.000      1.156
     0.130      2.000      0.000      0.008        0.000      0.000      1.182
     0.140      2.000      0.000      0.010        0.000      0.000      1.210
     0.150      2.000      0.000      0.012        0.000      0.000      1.240
     0.160      2.000      0.000      0.015        0.000      0.000      1.272
     0.170      2.000      0.000      0.018        0.000      0.000      1.306
     0.180      2.000      0.000      0.021        0.000      0.000      1.342
     0.190      2.000      0.000      0.025        0.000      0.000      1.380
     0.200      2.000      0.000      0.029        0.000      0.000      1.420
     0.210      2.000      0.000      0.033        0.000      0.000      1.462
     0.220      2.000      0.000      0.038        0.000      0.000      1.506
     0.230      2.000      0.000      0.043        0.000      0.000      1.552
     0.240      2.000      0.000      0.049        0.000      0.000      1.600
     0.250      2.000      0.000      0.055        0.000      0.000      1.650
     0.260      2.000      0.000      0.062        0.000      0.000      1.702
     0.270      2.000      0.000      0.069        0.000      0.000      1.756
     0.280      2.000      0.000      0.077        0.000      0.000      1.812
     0.290      2.000      0.000      0.086        0.000      0.000      1.870
     0.300      2.000      0.000      0.095        0.000      0.000      1.930
     0.310      2.000      0.000      0.104        0.000      0.000      1.992
     0.320      2.000      0.000      0.114        0.000      0.000      2.056
     0.330      2.000      0.000      0.125        0.000      0.000      2.122
     0.340      2.000      0.000      0.137        0.000      0.000      2.190
     0.350      2.000      0.000      0.149        0.000      0.000      2.260
     0.360      2.000      0.000      0.162        0.000      0.000      2.332
     0.370      2.000      0.000      0.176        0.000      0.000      2.406
     0.380      2.000      0.000      0.190        0.000      0.000      2.482
     0.390      2.000      0.000      0.205        0.000      0.000      2.560
     0.400      2.000      0.000      0.221        0.000      0.000      2.640
